indicator_name,province_name,year,value
نرخ تملک خودرو,هرمزگان,1381,3.3741148
نرخ تملک خودرو,همدان,1381,5.2006397
نرخ تملک خودرو,چهارمحال و بختیاری,1381,2.3218071
نرخ تملک خودرو,کل کشور,1381,7.4993582
نرخ تملک خودرو,گلستان,1381,2.0244081
نرخ تملک خودرو,گیلان,1381,1.2640206
نرخ تملک خودرو,یزد,1381,1.4155992
نرخ تملک خودرو,آذربایجان شرقی,1382,3.6130373
نرخ تملک خودرو,آذربایجان غربی,1382,.051396102
نرخ تملک خودرو,اردبیل,1382,8.2003145
نرخ تملک خودرو,اصفهان,1382,14.138947
نرخ تملک خودرو,ایلام,1382,1.59418
نرخ تملک خودرو,بوشهر,1382,6.7628937
نرخ تملک خودرو,تهران,1382,2.1968262
نرخ تملک خودرو,خراسان رضوی,1382,7.9513974
نرخ تملک خودرو,خوزستان,1382,11.093632
نرخ تملک خودرو,زنجان,1382,2.8798141
نرخ تملک خودرو,سمنان,1382,5.4832172
نرخ تملک خودرو,سیستان و بلوچستان,1382,1.5849863
نرخ تملک خودرو,فارس,1382,10.399594
نرخ تملک خودرو,قزوین,1382,10.57102
نرخ تملک خودرو,قم,1382,6.965519
نرخ تملک خودرو,کردستان,1382,1.5131377
نرخ تملک خودرو,کرمان,1382,13.483556
نرخ تملک خودرو,کرمانشاه,1382,2.9789894
نرخ تملک خودرو,کهگیلویه و بویراحمد,1382,3.1700637
نرخ تملک خودرو,لرستان,1382,2.1969576
نرخ تملک خودرو,مازندران,1382,.45131245
نرخ تملک خودرو,مرکزی,1382,4.8660374
نرخ تملک خودرو,هرمزگان,1382,.060702298
نرخ تملک خودرو,همدان,1382,5.9151678
نرخ تملک خودرو,چهارمحال و بختیاری,1382,1.0223749
نرخ تملک خودرو,کل کشور,1382,.38967663
نرخ تملک خودرو,گلستان,1382,.81922668
نرخ تملک خودرو,گیلان,1382,3.120451
نرخ تملک خودرو,یزد,1382,5.4993892
نرخ تملک خودرو,آذربایجان شرقی,1383,2.9071591
نرخ تملک خودرو,آذربایجان غربی,1383,1.7093302
نرخ تملک خودرو,اردبیل,1383,4.9736838
نرخ تملک خودرو,اصفهان,1383,18.277733
نرخ تملک خودرو,ایلام,1383,3.2783041
نرخ تملک خودرو,بوشهر,1383,6.5091124
نرخ تملک خودرو,تهران,1383,12.38619
نرخ تملک خودرو,خراسان رضوی,1383,.20073526
نرخ تملک خودرو,خوزستان,1383,2.2611678
نرخ تملک خودرو,زنجان,1383,.63867366
نرخ تملک خودرو,سمنان,1383,6.0436535
نرخ تملک خودرو,سیستان و بلوچستان,1383,4.147563
نرخ تملک خودرو,فارس,1383,7.1347303
نرخ تملک خودرو,قزوین,1383,10.334002
نرخ تملک خودرو,قم,1383,6.6427469
نرخ تملک خودرو,کردستان,1383,5.4732943
نرخ تملک خودرو,کرمان,1383,6.9314342
نرخ تملک خودرو,کرمانشاه,1383,12.680834
نرخ تملک خودرو,کهگیلویه و بویراحمد,1383,6.4786282
نرخ تملک خودرو,لرستان,1383,4.0132546
نرخ تملک خودرو,مازندران,1383,4.0243173
نرخ تملک خودرو,مرکزی,1383,10.711795
نرخ تملک خودرو,هرمزگان,1383,5.0098782
نرخ تملک خودرو,همدان,1383,.13888362
نرخ تملک خودرو,چهارمحال و بختیاری,1383,10.452692
نرخ تملک خودرو,کل کشور,1383,9.2521276
نرخ تملک خودرو,گلستان,1383,6.4645228
نرخ تملک خودرو,گیلان,1383,2.4770107
نرخ تملک خودرو,یزد,1383,17.33407
نرخ تملک خودرو,آذربایجان شرقی,1384,15.104339
نرخ تملک خودرو,آذربایجان غربی,1384,4.2197733
نرخ تملک خودرو,اردبیل,1384,2.5461833
نرخ تملک خودرو,اصفهان,1384,5.0281701
نرخ تملک خودرو,ایلام,1384,2.3271239
نرخ تملک خودرو,بوشهر,1384,2.9342442
نرخ تملک خودرو,تهران,1384,3.2153881
نرخ تملک خودرو,خراسان جنوبی,1384,6.3644748
نرخ تملک خودرو,خراسان رضوی,1384,9.0641966
نرخ تملک خودرو,خراسان شمالی,1384,4.3391428
نرخ تملک خودرو,خوزستان,1384,13.607855
نرخ تملک خودرو,زنجان,1384,5.3178868
نرخ تملک خودرو,سمنان,1384,3.0756276
نرخ تملک خودرو,سیستان و بلوچستان,1384,4.0814033
نرخ تملک خودرو,فارس,1384,12.703083
نرخ تملک خودرو,قزوین,1384,13.108626
نرخ تملک خودرو,قم,1384,12.46593
نرخ تملک خودرو,کردستان,1384,3.2426779
نرخ تملک خودرو,کرمان,1384,21.087461
نرخ تملک خودرو,کرمانشاه,1384,5.8280106
نرخ تملک خودرو,کهگیلویه و بویراحمد,1384,7.1904163
نرخ تملک خودرو,لرستان,1384,6.3680701
نرخ تملک خودرو,مازندران,1384,6.2598796
نرخ تملک خودرو,مرکزی,1384,1.8128924
نرخ تملک خودرو,هرمزگان,1384,4.9119444
نرخ تملک خودرو,همدان,1384,8.4153719
نرخ تملک خودرو,چهارمحال و بختیاری,1384,7.4366965
نرخ تملک خودرو,کل کشور,1384,12.194436
نرخ تملک خودرو,گلستان,1384,5.9735198
نرخ تملک خودرو,گیلان,1384,3.1501079
نرخ تملک خودرو,یزد,1384,4.885416
نرخ تملک خودرو,آذربایجان شرقی,1385,.96399271
نرخ تملک خودرو,آذربایجان غربی,1385,4.7300105
نرخ تملک خودرو,اردبیل,1385,.75526774
نرخ تملک خودرو,اصفهان,1385,6.5998826
نرخ تملک خودرو,ایلام,1385,8.3198977
نرخ تملک خودرو,بوشهر,1385,15.858829
نرخ تملک خودرو,تهران,1385,3.2775769
نرخ تملک خودرو,خراسان جنوبی,1385,14.7898
نرخ تملک خودرو,خراسان رضوی,1385,2.972815
نرخ تملک خودرو,خراسان شمالی,1385,8.0330238
نرخ تملک خودرو,خوزستان,1385,10.320143
نرخ تملک خودرو,زنجان,1385,1.6849558
نرخ تملک خودرو,سمنان,1385,6.2391343
نرخ تملک خودرو,سیستان و بلوچستان,1385,2.9850054
نرخ تملک خودرو,فارس,1385,8.8192978
نرخ تملک خودرو,قزوین,1385,14.801205
نرخ تملک خودرو,قم,1385,6.6852241
نرخ تملک خودرو,کردستان,1385,6.6170144
نرخ تملک خودرو,کرمان,1385,19.620804
نرخ تملک خودرو,کرمانشاه,1385,5.5412393
نرخ تملک خودرو,کهگیلویه و بویراحمد,1385,10.900576
نرخ تملک خودرو,لرستان,1385,6.7076201
نرخ تملک خودرو,مازندران,1385,10.614763
نرخ تملک خودرو,مرکزی,1385,3.925745
نرخ تملک خودرو,هرمزگان,1385,9.4138269
نرخ تملک خودرو,همدان,1385,1.6712217
نرخ تملک خودرو,چهارمحال و بختیاری,1385,12.153702
نرخ تملک خودرو,کل کشور,1385,5.9146481
نرخ تملک خودرو,گلستان,1385,2.2503626
نرخ تملک خودرو,گیلان,1385,7.4856777
نرخ تملک خودرو,یزد,1385,12.603498
نرخ تملک خودرو,آذربایجان شرقی,1386,14.068794
نرخ تملک خودرو,آذربایجان غربی,1386,14.673607
نرخ تملک خودرو,اردبیل,1386,2.7886074
نرخ تملک خودرو,اصفهان,1386,11.497573
نرخ تملک خودرو,ایلام,1386,10.332059
نرخ تملک خودرو,بوشهر,1386,4.0115552
نرخ تملک خودرو,تهران,1386,1.8687155
نرخ تملک خودرو,خراسان جنوبی,1386,1.1248194
نرخ تملک خودرو,خراسان رضوی,1386,13.662943
نرخ تملک خودرو,خراسان شمالی,1386,1.5606302
نرخ تملک خودرو,خوزستان,1386,8.8892736
نرخ تملک خودرو,زنجان,1386,14.511345
نرخ تملک خودرو,سمنان,1386,21.638769
نرخ تملک خودرو,سیستان و بلوچستان,1386,.24522832
نرخ تملک خودرو,فارس,1386,6.4550838
نرخ تملک خودرو,قزوین,1386,8.5138826
نرخ تملک خودرو,قم,1386,3.2517769
نرخ تملک خودرو,کردستان,1386,4.5821557
نرخ تملک خودرو,کرمان,1386,16.678865
نرخ تملک خودرو,کرمانشاه,1386,12.311459
نرخ تملک خودرو,کهگیلویه و بویراحمد,1386,12.664904
نرخ تملک خودرو,لرستان,1386,9.1249847
نرخ تملک خودرو,مازندران,1386,12.716866
نرخ تملک خودرو,مرکزی,1386,8.8846312
نرخ تملک خودرو,هرمزگان,1386,8.4462194
نرخ تملک خودرو,همدان,1386,5.8154302
نرخ تملک خودرو,چهارمحال و بختیاری,1386,9.4187059
نرخ تملک خودرو,کل کشور,1386,8.2910595
نرخ تملک خودرو,گلستان,1386,4.1554546
نرخ تملک خودرو,گیلان,1386,6.7855949
نرخ تملک خودرو,یزد,1386,29.56428
نرخ تملک خودرو,آذربایجان شرقی,1387,9.4370575
نرخ تملک خودرو,آذربایجان غربی,1387,16.570889
نرخ تملک خودرو,اردبیل,1387,7.0821671
نرخ تملک خودرو,اصفهان,1387,2.724473
نرخ تملک خودرو,ایلام,1387,12.605816
نرخ تملک خودرو,بوشهر,1387,12.271662
نرخ تملک خودرو,تهران,1387,9.3327074
نرخ تملک خودرو,خراسان جنوبی,1387,15.791859
نرخ تملک خودرو,خراسان رضوی,1387,16.225449
نرخ تملک خودرو,خراسان شمالی,1387,8.7129097
نرخ تملک خودرو,خوزستان,1387,7.6964998
نرخ تملک خودرو,زنجان,1387,13.247487
نرخ تملک خودرو,سمنان,1387,16.43339
نرخ تملک خودرو,سیستان و بلوچستان,1387,3.392396
نرخ تملک خودرو,فارس,1387,3.9057555
نرخ تملک خودرو,قزوین,1387,18.153469
نرخ تملک خودرو,قم,1387,15.254114
نرخ تملک خودرو,کردستان,1387,1.1357934
نرخ تملک خودرو,کرمان,1387,11.473541
نرخ تملک خودرو,کرمانشاه,1387,10.809954
نرخ تملک خودرو,کهگیلویه و بویراحمد,1387,14.562417
نرخ تملک خودرو,لرستان,1387,12.708487
نرخ تملک خودرو,مازندران,1387,8.1381693
نرخ تملک خودرو,مرکزی,1387,1.1112781
نرخ تملک خودرو,هرمزگان,1387,8.9757233
نرخ تملک خودرو,همدان,1387,3.8621981
نرخ تملک خودرو,چهارمحال و بختیاری,1387,4.3860836
نرخ تملک خودرو,کل کشور,1387,17.07585
